im|I'm
ive|I've
ill|I'll
id|I'd
youre|you're
youve|you've
youll|you'll
youd|you'd
hes|he's
shes|she's
its|it's
were|we're
weve|we've
well|we'll
wed|we'd
theyre|they're
theyve|they've
theyll|they'll
theyd|they'd
dont|don't
doesnt|doesn't
didnt|didn't
isnt|isn't
arent|aren't
wasnt|wasn't
werent|weren't
hasnt|hasn't
havent|haven't
hadnt|hadn't
wont|won't
wouldnt|wouldn't
couldnt|couldn't
shouldnt|shouldn't
cant|can't
cannot|cannot
mustnt|mustn't
neednt|needn't
shouldve|should've
wouldve|would've
couldve|could've
mightve|might've
mustve|must've
thats|that's
whats|what's
wheres|where's
whens|when's
whos|who's
hows|how's
heres|here's
theres|there's
lets|let's
